project,location,pdb
"10466","/home/server.140.163.4.233/server2/data/SVR1401634233/PROJ10466/","/home/server.140.163.4.235/server2/projects/FAHNVT/T4/equil_nvt/equil_nvt.pdb"
"10467","/home/server.140.163.4.233/server2/data/SVR1401634233/PROJ10467/","/home/server.140.163.4.235/server2/projects/FAHNVT/src/equil_npt/equil_npt_final_step.pdb"
"10468","/home/server.140.163.4.233/server2/data/SVR1401634233/PROJ10468/","/home/server.140.163.4.235/server2/projects/FAHNVT/abl/equil_npt/equil_npt_final_step.pdb"
"10469","/home/server.140.163.4.233/server2/data/SVR1401634233/PROJ10469/","/home/server.140.163.4.235/server2/projects/FAHNVT/EGFR/equil_npt/equil_npt_final_step.pdb"
"10470","/home/server.140.163.4.235/server2/data/SVR1401634235/PROJ10470","/home/server.140.163.4.235/server2/projects/FAHNVT/T4/equil_npt/equil_npt_final_step.pdb"
"10471","/home/server.140.163.4.235/server2/data/SVR1401634235/PROJ10471","/home/server.140.163.4.235/server2/projects/FAHNVT/src/equil_npt/equil_npt_final_step.pdb"
"10472","/home/server.140.163.4.235/server2/data/SVR1401634235/PROJ10472","/home/server.140.163.4.235/server2/projects/FAHNVT/abl/equil_npt/equil_npt_final_step.pdb"
"10473","/home/server.140.163.4.235/server2/data/SVR1401634235/PROJ10473","/home/server.140.163.4.235/server2/projects/FAHNVT/EGFR/equil_npt/equil_npt_final_step.pdb"
"10474","/home/server.140.163.4.234/server2/data/SVR1401634234/PROJ10474","/home/server.140.163.4.235/server2/projects/FAHNVT/NSD2_HUMAN_D0/oldRUN0/system.pdb"
"10475","/home/server.140.163.4.234/server2/data/SVR1401634234/PROJ10475","/home/server.140.163.4.235/server2/projects/FAHNVT/NSD2_HUMAN_D0/oldRUN0/system.pdb"
"10476","/home/server.140.163.4.234/server2/data/SVR1401634234/PROJ10476","/home/server.140.163.4.235/server2/projects/FAHNVT/SETD2_HUMAN_D0/oldRUN0/system.pdb"
"10478","/home/server.140.163.4.234/server2/data/SVR1401634234/PROJ10478","/data/choderalab/fah/fah-projects/projects/setd8-p10478/equil/4IJ8_final_step.pdb"
"10484","/home/server.140.163.4.235/server2/data/SVR1401634235/PROJ10484","/data/choderalab/fah/fah-projects/projects/DDR1_HUMAN_D0-10484/system.pdb"
"10485","/home/server.140.163.4.235/server2/data/SVR1401634235/PROJ10485","/data/choderalab/fah/fah-projects/projects/KSYK_HUMAN_D0-10485/system.pdb"
"10486","/home/server.140.163.4.235/server2/data/SVR1401634235/PROJ10486","/data/choderalab/fah/fah-projects/projects/CSK21_HUMAN_D0-10486/system.pdb"
"10487","/home/server.140.163.4.235/server2/data/SVR1401634235/PROJ10487","/data/choderalab/fah/fah-projects/projects/ERBB2_HUMAN_D0-10487/system.pdb"
"10488","/home/server.140.163.4.235/server2/data/SVR1401634235/PROJ10488","/data/choderalab/fah/fah-projects/projects/MP2K1_HUMAN_D0-10488/system.pdb"
"10489","/home/server.140.163.4.234/server2/data/SVR1401634234/PROJ10489","/data/choderalab/fah/fah-projects/projects/setd8-p10478/equil/4IJ8_final_step.pdb"
